voyage_id,cluster,vessel_type,DWT,n_ports,ports,port_territories,latitudes,longitudes,ecoprovinces,transits_hours,dwells_hours,total_span_days,delta_t_hours,nz_dest_port
syn_05716,2,Container,8252.0,6,"['PAPEETE', 'LAUTOKA', 'NOUMEA', 'BRISBANE', 'BOTANY', 'AUCKLAND']","['French Polynesia', 'Fiji', 'New Caledonia', 'Australia', 'Australia', 'New Zealand']","[-17.5374, -17.6036, -22.2633, -27.3765, -33.9682, -36.8402]","[-149.5753, 177.4387, 166.4317, 153.1665, 151.2149, 174.7721]","['Southeast Polynesia', 'Tropical Southwestern Pacific', 'Tropical Southwestern Pacific', 'East Central Australian Shelf', 'East Central Australian Shelf', 'Northern New Zealand']","[0.0, 99.81639422928527, 131.9206789205649, 136.20100700045163, 34.826998359307964, 99.22090724777917]","[6.891396911137868, np.float64(122.30217690140941), 110.3575210499952, 17.94737849687638, 19.816641214976002, 0.0]",32.4709,772.4097,AUCKLAND
syn_05717,2,General Cargo,8378.0,7,"['SUVA', 'LAUTOKA', 'APIA', 'PAGO PAGO HARBOR', 'RAROTONGA', 'AITUTAKI', 'AUCKLAND']","['Fiji', 'Fiji', 'Samoa', 'American Samoa', 'Cook Islands', 'Cook Islands', 'New Zealand']","[-18.1339, -17.6036, -13.826, -14.2765, -21.2046, -18.8505, -36.8402]","[178.4235, 177.4387, -171.7622, -170.6854, -159.7843, -159.8111, 174.7721]","['Tropical Southwestern Pacific', 'Tropical Southwestern Pacific', 'Central Polynesia', 'Central Polynesia', 'Southeast Polynesia', 'Southeast Polynesia', 'Northern New Zealand']","[0.0, 10.592745930567624, 122.80426846856273, 17.52766725629702, 89.67492681310767, 15.391399438096743, 218.48862883929561]","[np.float64(48.74067754053583), np.float64(62.64061632919604), np.float64(12.580015734814301), np.float64(11.971949738339983), np.float64(24.54818389218547), np.float64(46.42178397801388), 0.0]",28.391,632.6422,AUCKLAND
syn_05718,2,Container,8252.0,6,"[""NUKU'ALOFA"", 'SUVA', 'PAGO PAGO HARBOR', 'APIA', ""NUKU'ALOFA"", 'TAURANGA']","['Tonga', 'Fiji', 'American Samoa', 'Samoa', 'Tonga', 'New Zealand']","[-21.1362, -18.1339, -14.2765, -13.826, -21.1362, -37.6444]","[-175.1806, 178.4235, -170.6854, -171.7622, -175.1806, 176.1819]","['Tropical Southwestern Pacific', 'Tropical Southwestern Pacific', 'Central Polynesia', 'Central Polynesia', 'Tropical Southwestern Pacific', 'Northern New Zealand']","[0.0, 37.440516607604884, 92.42168165573241, 5.918011952245987, 51.13185193719048, 112.25901201539232]","[np.float64(15.655079559311666), np.float64(38.433821578698044), np.float64(17.122474158079594), np.float64(88.44670916874132), np.float64(17.42280555774001), 0.0]",19.8438,460.5969,TAURANGA
syn_05719,2,Container,22968.0,7,"['PAPEETE', 'LAUTOKA', 'NOUMEA', 'BRISBANE', 'BOTANY', 'MELBOURNE', 'TAURANGA']","['French Polynesia', 'Fiji', 'New Caledonia', 'Australia', 'Australia', 'Australia', 'New Zealand']","[-17.5374, -17.6036, -22.2633, -27.3765, -33.9682, -37.844, -37.6444]","[-149.5753, 177.4387, 166.4317, 153.1665, 151.2149, 144.905, 176.1819]","['Southeast Polynesia', 'Tropical Southwestern Pacific', 'Tropical Southwestern Pacific', 'East Central Australian Shelf', 'East Central Australian Shelf', 'Southeast Australian Shelf', 'Northern New Zealand']","[0.0, 224.21774944371293, 51.067661895882765, 69.26068311526339, 39.8015780962475, 44.75724719218415, 115.87391538258379]","[30.774820332108977, np.float64(102.16504262356068), 48.12743746960059, 22.205933842824553, 51.13120796404237, 18.173359322631427, 0.0]",34.0649,786.7818,TAURANGA
syn_05720,2,Container,22968.0,7,"['SUVA', 'APIA', 'PAGO PAGO HARBOR', 'RAROTONGA', 'AITUTAKI', ""NUKU'ALOFA"", 'AUCKLAND']","['Fiji', 'Samoa', 'American Samoa', 'Cook Islands', 'Cook Islands', 'Tonga', 'New Zealand']","[-18.1339, -13.826, -14.2765, -21.2046, -18.8505, -21.1362, -36.8402]","[178.4235, -171.7622, -170.6854, -159.7843, -159.8111, -175.1806, 174.7721]","['Tropical Southwestern Pacific', 'Central Polynesia', 'Central Polynesia', 'Southeast Polynesia', 'Southeast Polynesia', 'Tropical Southwestern Pacific', 'Northern New Zealand']","[0.0, 61.062690338801, 17.500330018683634, 76.8210199627149, 10.084800932843947, 62.87564675071074, 105.376248242687]","[np.float64(23.36563349415864), np.float64(13.731685278838604), np.float64(11.805040759753627), np.float64(79.76003257625779), np.float64(33.984867298336944), np.float64(13.620262629554128), 0.0]",21.2495,486.6226,AUCKLAND
syn_05721,2,Container,22708.0,7,"['SUVA', 'LAUTOKA', 'SUVA', 'FUNAFUTI', 'TARAWA', 'LONDON', 'AUCKLAND']","['Fiji', 'Fiji', 'Fiji', 'Tuvalu', 'Kiribati', 'Kiribati', 'New Zealand']","[-18.1339, -17.6036, -18.1339, -8.5032, 1.3673, 2.0062, -36.8402]","[178.4235, 177.4387, 178.4235, 179.1946, 172.9355, -157.4881, 174.7721]","['Tropical Southwestern Pacific', 'Tropical Southwestern Pacific', 'Tropical Southwestern Pacific', 'Marshall, Gilbert and Ellis Islands', 'Marshall, Gilbert and Ellis Islands', 'Central Polynesia', 'Northern New Zealand']","[0.0, 13.949941346804525, 10.02211908674864, 62.851568626029405, 76.86422383474928, 214.3999938857513, 301.3311462287928]","[np.float64(19.465181496094996), np.float64(28.770941563187073), np.float64(14.291623520947674), 32.06014020198359, 42.00831130923014, 30.410055539050187, 0.0]",35.2677,826.9601,AUCKLAND
syn_05722,2,Container,22968.0,7,"['LAUTOKA', 'SUVA', 'APIA', 'RAROTONGA', 'AITUTAKI', 'NEIAFU', 'AUCKLAND']","['Fiji', 'Fiji', 'Samoa', 'Cook Islands', 'Cook Islands', 'Tonga', 'New Zealand']","[-17.6036, -18.1339, -13.826, -21.2046, -18.8505, -18.6529, -36.8402]","[177.4387, 178.4235, -171.7622, -159.7843, -159.8111, -173.9852, 174.7721]","['Tropical Southwestern Pacific', 'Tropical Southwestern Pacific', 'Central Polynesia', 'Southeast Polynesia', 'Southeast Polynesia', 'Tropical Southwestern Pacific', 'Northern New Zealand']","[0.0, 6.672302911032831, 74.49391486221644, 102.72606567342056, 6.321987992988926, 134.96543804570325, 137.3465814762351]","[np.float64(115.23489059159701), np.float64(82.29255502678103), np.float64(10.80713954713668), np.float64(93.18828378045576), np.float64(32.61985969613285), np.float64(6.171991853113537), 0.0]",33.4517,687.6061,AUCKLAND
syn_05723,2,General Cargo,20202.0,6,"['SUVA', 'LAUTOKA', 'APIA', 'PAGO PAGO HARBOR', ""NUKU'ALOFA"", 'TAURANGA']","['Fiji', 'Fiji', 'Samoa', 'American Samoa', 'Tonga', 'New Zealand']","[-18.1339, -17.6036, -13.826, -14.2765, -21.1362, -37.6444]","[178.4235, 177.4387, -171.7622, -170.6854, -175.1806, 176.1819]","['Tropical Southwestern Pacific', 'Tropical Southwestern Pacific', 'Central Polynesia', 'Central Polynesia', 'Tropical Southwestern Pacific', 'Northern New Zealand']","[0.0, 8.15877657163919, 170.5777705961009, 19.92184203967774, 65.78272890148376, 83.54371829974525]","[np.float64(58.7688213197387), np.float64(42.156253083894285), np.float64(30.897848042713786), np.float64(17.813303834397168), np.float64(13.972746879306253), 0.0]",21.3164,452.825,TAURANGA
syn_05724,2,General Cargo,8378.0,7,"['SUVA', 'APIA', 'RAROTONGA', 'AITUTAKI', 'NEIAFU', ""NUKU'ALOFA"", 'AUCKLAND']","['Fiji', 'Samoa', 'Cook Islands', 'Cook Islands', 'Tonga', 'Tonga', 'New Zealand']","[-18.1339, -13.826, -21.2046, -18.8505, -18.6529, -21.1362, -36.8402]","[178.4235, -171.7622, -159.7843, -159.8111, -173.9852, -175.1806, 174.7721]","['Tropical Southwestern Pacific', 'Central Polynesia', 'Southeast Polynesia', 'Southeast Polynesia', 'Tropical Southwestern Pacific', 'Tropical Southwestern Pacific', 'Northern New Zealand']","[0.0, 74.6617023037122, 92.28350655482997, 14.967635703911856, 166.7320287771541, 26.28101501137449, 102.00441617364397]","[np.float64(18.714757695459518), np.float64(68.3495055960802), np.float64(18.18843461773188), np.float64(90.23425733496032), np.float64(13.196680848156882), np.float64(41.33070584372287), 0.0]",30.2894,708.2299,AUCKLAND
syn_05725,2,Container,22708.0,7,"['SUVA', 'PAPEETE', 'NADI BAY', 'VUDA', 'MALAU', 'BOTANY', 'LYTTELTON']","['Fiji', 'French Polynesia', 'Fiji', 'Fiji', 'Fiji', 'Australia', 'New Zealand']","[-18.1339, -17.5374, -17.7162, -17.6861, -16.3591, -33.9682, -43.606]","[178.4235, -149.5753, 177.371, 177.3849, 179.3631, 151.2149, 172.7213]","['Tropical Southwestern Pacific', 'Southeast Polynesia', 'Tropical Southwestern Pacific', 'Tropical Southwestern Pacific', 'Tropical Southwestern Pacific', 'East Central Australian Shelf', 'Southern New Zealand']","[0.0, 271.48745576449653, 264.14000665905394, 57.711337833448475, 13.879811527619706, 207.0219508824127, 125.6061675780312]","[np.float64(10.55427094571996), 48.833707836729424, 45.971447330143874, 21.534172494691667, 20.452587637894048, 35.93696341759455, 0.0]",46.7971,1112.5756,LYTTELTON
