voyage_id,cluster,vessel_type,DWT,n_ports,ports,port_territories,latitudes,longitudes,ecoprovinces,transits_hours,dwells_hours,total_span_days,delta_t_hours,nz_dest_port
syn_03278,1,Reefer,10338.0,7,"['TOAMASINA', 'MAPUTO', 'BEIRA', 'SINGAPORE', 'HO CHI MINH CITY', 'GUANGZHOU', 'AUCKLAND']","['Madagascar', 'Mozambique', 'Mozambique', 'Singapore', 'Viet Nam', 'China', 'New Zealand']","[-18.1517, -25.9722, -19.9083, 1.2427, 10.7818, 22.4968, -36.8402]","[49.4272, 32.5616, 35.0269, 103.8733, 106.8178, 113.8628, 174.7721]","['Western Indian Ocean', 'Western Indian Ocean', 'Western Indian Ocean', 'Sunda Shelf', 'Sunda Shelf', 'South China Sea', 'Northern New Zealand']","[0.0, 82.31375769478471, 29.81606056903277, 245.56260225313977, 37.07084579921223, 65.95386187460191, 422.89766371596596]","[31.63070468055679, 53.00976485498279, 56.172100464576616, 25.04600234996903, 18.279548729046624, 13.64461835612682, 0.0]",45.0582,1049.7668,AUCKLAND
syn_03279,1,Container,41028.0,7,"['TALLINN', 'MUUGA', 'SAINT PETERSBURG', 'CRIST_BAL', 'TABOGUILLA', 'RODMAN', 'TAURANGA']","['Estonia', 'Estonia', 'Russian Federation', 'Panama', 'Panama', 'Panama', 'New Zealand']","[59.5237, 59.4921, 60.0158, 9.3645, 8.8583, 8.9633, -37.6444]","[24.5108, 24.9661, 29.3653, -79.9313, -79.515, -79.5692, 176.1819]","['Northern European Seas', 'Northern European Seas', 'Northern European Seas', 'Tropical Northwestern Atlantic', 'Tropical East Pacific', 'Tropical East Pacific', 'Northern New Zealand']","[0.0, 61.51126797729493, 10.38936411164157, 312.43325663718014, 6.099848909029182, 1.962758743437374, 436.52111757595577]","[35.412897242400945, 7.703064800828701, 38.83181481801428, np.float64(54.32146295199849), np.float64(27.274119130003474), np.float64(20.232030303407754), 0.0]",42.1955,977.2801,TAURANGA
syn_03280,1,General Cargo,16950.0,7,"['CARTAGENA', 'GATUN', 'TABOGUILLA', 'RODMAN', 'BUENAVENTURA', 'CALLAO', 'TAURANGA']","['Colombia', 'Panama', 'Panama', 'Panama', 'Colombia', 'Peru', 'New Zealand']","[10.405, 9.2166, 8.8583, 8.9633, 3.8933, -12.0302, -37.6444]","[-75.5367, -79.9294, -79.515, -79.5692, -77.0433, -77.1874, 176.1819]","['Tropical Northwestern Atlantic', 'Tropical Northwestern Atlantic', 'Tropical East Pacific', 'Tropical East Pacific', 'Tropical East Pacific', 'Warm Temperate Southeastern Pacific', 'Northern New Zealand']","[0.0, 35.51472383291773, 3.525183076551919, 1.0437640951892904, 32.63110089919507, 107.83113935788718, 500.013630725185]","[np.float64(18.083868707960217), np.float64(114.88177375925083), np.float64(63.0552048037941), np.float64(41.70377415374483), np.float64(52.59454019094726), np.float64(10.118607637199371), 0.0]",40.8749,962.9134,TAURANGA
syn_03281,1,Reefer,10338.0,7,"['CRIST_BAL', 'CARTAGENA', 'PHILADELPHIA', 'CHARLESTON', 'CRIST_BAL', 'RODMAN', 'TAURANGA']","['Panama', 'Colombia', 'United States', 'United States', 'Panama', 'Panama', 'New Zealand']","[9.3645, 10.405, 39.9024, 32.8359, 9.3645, 8.9633, -37.6444]","[-79.9313, -75.5367, -75.1278, -79.891, -79.9313, -79.5692, 176.1819]","['Tropical Northwestern Atlantic', 'Tropical Northwestern Atlantic', 'Cold Temperate Northwest Atlantic', 'Warm Temperate Northwest Atlantic', 'Tropical Northwestern Atlantic', 'Tropical East Pacific', 'Northern New Zealand']","[0.0, 59.88855779511052, 147.53938719423894, 29.92439953982521, 243.0537518649258, 3.8630326267468784, 511.02036248333786]","[np.float64(8.052881897075215), np.float64(18.409677314435758), np.float64(13.887061806042857), np.float64(27.174405069897585), np.float64(121.02887805284158), np.float64(85.89356238545571), 0.0]",52.9057,1261.6831,TAURANGA
syn_03282,1,Container,50500.0,7,"['SAVANNAH', 'KINGSTON', 'CRIST_BAL', 'PAPEETE', 'NOUMEA', 'BRISBANE', 'TAURANGA']","['United States', 'Jamaica', 'Panama', 'French Polynesia', 'New Caledonia', 'Australia', 'New Zealand']","[32.0868, 17.9537, 9.3645, -17.5374, -22.2633, -27.3765, -37.6444]","[-81.0983, -76.7529, -79.9313, -149.5753, 166.4317, 153.1665, 176.1819]","['Warm Temperate Northwest Atlantic', 'Tropical Northwestern Atlantic', 'Tropical Northwestern Atlantic', 'Southeast Polynesia', 'Tropical Southwestern Pacific', 'East Central Australian Shelf', 'Northern New Zealand']","[0.0, 67.88694196260623, 40.13666171016056, 281.2626957263796, 137.3783059295212, 111.38386062699743, 135.15521028961456]","[np.float64(14.401953272837371), np.float64(9.24193871442581), np.float64(58.97767952516231), np.float64(15.614379179829745), np.float64(12.801401113593213), np.float64(19.433475437491733), 0.0]",37.6531,889.2726,TAURANGA
syn_03283,1,Container,51939.0,7,"['KINGSTON', 'CRIST_BAL', 'TABOGUILLA', 'PAPEETE', 'NOUMEA', 'BRISBANE', 'TAURANGA']","['Jamaica', 'Panama', 'Panama', 'French Polynesia', 'New Caledonia', 'Australia', 'New Zealand']","[17.9537, 9.3645, 8.8583, -17.5374, -22.2633, -27.3765, -37.6444]","[-76.7529, -79.9313, -79.515, -149.5753, 166.4317, 153.1665, 176.1819]","['Tropical Northwestern Atlantic', 'Tropical Northwestern Atlantic', 'Tropical East Pacific', 'Southeast Polynesia', 'Tropical Southwestern Pacific', 'East Central Australian Shelf', 'Northern New Zealand']","[0.0, 37.23976848453507, 6.099848909029182, 266.7252109951977, 168.13840303817435, 64.77551617877272, 117.06282111553449]","[np.float64(8.923047098578836), np.float64(13.534936749066942), np.float64(11.001904540887175), np.float64(11.679288195641071), np.float64(6.447771331242166), np.float64(9.352447593181568), 0.0]",30.0409,712.0579,TAURANGA
syn_03284,1,Container,41028.0,7,"['ZEEBRUGGE', 'MARCHWOOD', 'BALTIMORE', 'SAVANNAH', 'CRIST_BAL', 'GATUN', 'AUCKLAND']","['Belgium', 'United Kingdom', 'United States', 'United States', 'Panama', 'Panama', 'New Zealand']","[51.3158, 50.8849, 39.2398, 32.0868, 9.3645, 9.2166, -36.8402]","[3.2252, -1.3968, -76.5304, -81.0983, -79.9313, -79.9294, 174.7721]","['Northern European Seas', 'Northern European Seas', 'Cold Temperate Northwest Atlantic', 'Warm Temperate Northwest Atlantic', 'Tropical Northwestern Atlantic', 'Tropical Northwestern Atlantic', 'Northern New Zealand']","[0.0, 26.201897567664833, 276.37525657378404, 60.36071148761696, 152.30246411791458, 33.51480293603364, 464.7729749679335]","[21.88894403728277, np.float64(30.962994611517892), np.float64(133.72381404573252), np.float64(52.55026875441393), np.float64(28.327013202355978), np.float64(7.7303123020187), 0.0]",53.6963,1266.8225,AUCKLAND
syn_03285,1,General Cargo,43878.0,6,"['BREMERHAVEN', 'GROSSENSIEL', 'BALTIMORE', 'US SSI', 'CRIST_BAL', 'AUCKLAND']","['Germany', 'Germany', 'United States', 'United States', 'Panama', 'New Zealand']","[53.915, 53.5781, 39.2398, 31.1308, 9.3645, -36.8402]","[7.7718, 8.552, -76.5304, -81.5326, -79.9313, 174.7721]","['Northern European Seas', 'Northern European Seas', 'Cold Temperate Northwest Atlantic', 'Warm Temperate Northwest Atlantic', 'Tropical Northwestern Atlantic', 'Northern New Zealand']","[0.0, 2.9226371802508178, 325.6969286191825, 91.00464460399985, 118.69948824454768, 438.970839449143]","[84.53112187156542, 11.009904147126793, np.float64(11.348792832144268), 35.663649109229894, np.float64(14.003244721642453), 0.0]",47.2438,1049.3201,AUCKLAND
syn_03286,1,General Cargo,13958.0,7,"['NEWARK', 'SAVANNAH', 'KINGSTON', 'PAPEETE', 'LAUTOKA', 'NOUMEA', 'WELLINGTON']","['United States', 'United States', 'Jamaica', 'French Polynesia', 'Fiji', 'New Caledonia', 'New Zealand']","[40.6699, 32.0868, 17.9537, -17.5374, -17.6036, -22.2633, -41.2746]","[-74.1412, -81.0983, -76.7529, -149.5753, 177.4387, 166.4317, 174.7887]","['Cold Temperate Northwest Atlantic', 'Warm Temperate Northwest Atlantic', 'Tropical Northwestern Atlantic', 'Southeast Polynesia', 'Tropical Southwestern Pacific', 'Tropical Southwestern Pacific', 'Southern New Zealand']","[0.0, 53.10701980351255, 91.05557688807515, 479.34433160404535, 119.9861793695286, 38.607736640492654, 83.79454600687544]","[11.130331352036237, np.float64(94.69109748350033), np.float64(6.474815463141055), np.float64(23.856445695930013), 27.45794005934498, np.float64(7.819628571481366), 0.0]",43.2219,1026.1953,WELLINGTON
syn_03287,1,Container,26868.0,7,"['KINGSTON', 'PAPEETE', 'NOUMEA', 'BRISBANE', 'BOTANY', 'MELBOURNE', 'TAURANGA']","['Jamaica', 'French Polynesia', 'New Caledonia', 'Australia', 'Australia', 'Australia', 'New Zealand']","[17.9537, -17.5374, -22.2633, -27.3765, -33.9682, -37.844, -37.6444]","[-76.7529, -149.5753, 166.4317, 153.1665, 151.2149, 144.905, 176.1819]","['Tropical Northwestern Atlantic', 'Southeast Polynesia', 'Tropical Southwestern Pacific', 'East Central Australian Shelf', 'East Central Australian Shelf', 'Southeast Australian Shelf', 'Northern New Zealand']","[0.0, 323.8851509575333, 180.54027957726277, 60.76683598991612, 48.07097097526306, 42.5244549739241, 144.16169514381684]","[np.float64(6.393755924089951), np.float64(29.8363669251215), np.float64(6.623822300624911), np.float64(16.442833116736857), np.float64(7.744845119277685), np.float64(14.639212100383492), 0.0]",36.7346,875.2365,TAURANGA
