voyage_id,cluster,vessel_type,DWT,n_ports,ports,port_territories,latitudes,longitudes,ecoprovinces,transits_hours,dwells_hours,total_span_days,delta_t_hours,nz_dest_port
syn_07096,4,Bulker,32816.0,5,"['CHOFU', 'SHANGHAI', 'BRISBANE', 'KEMBLA', 'WELLINGTON']","['Japan', 'China', 'Australia', 'Australia', 'New Zealand']","[34.0071, 31.0717, -27.3765, -34.4537, -41.2746]","[131.0024, 122.6783, 153.1665, 150.8864, 174.7887]","['Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'East Central Australian Shelf', 'East Central Australian Shelf', 'Southern New Zealand']","[0.0, 57.65343387363544, 345.8971858047427, 70.16100713012125, 90.61729139345597]","[124.18700123947971, np.float64(62.51487423302407), np.float64(46.669188924805226), np.float64(73.12919992779179), 0.0]",36.2845,746.6422,WELLINGTON
syn_07097,4,General Cargo,32975.0,5,"['HAY POINT', 'MIZUSHIMA', 'YOKOHAMA', 'TOKYO', 'LYTTELTON']","['Australia', 'Japan', 'Japan', 'Japan', 'New Zealand']","[-21.1629, 34.5086, 35.4763, 35.6, -43.606]","[149.3474, 133.7378, 139.6511, 139.7931, 172.7213]","['Northeast Australian Shelf', 'Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Southern New Zealand']","[0.0, 420.3349933114158, 49.002559971298595, 6.991758653876576, 505.2333078370241]","[49.645096516653034, 36.83691143649458, np.float64(19.54753787454134), 27.06568477589378, 0.0]",46.4441,1065.0128,LYTTELTON
syn_07098,4,Bulker,37806.0,5,"['KAOHSIUNG', 'MANILA', 'BRISBANE', 'NEWCASTLE', 'TAURANGA']","['Taiwan', 'Philippines', 'Australia', 'Australia', 'New Zealand']","[22.5712, 14.597, -27.3765, -32.9182, -37.6444]","[120.3042, 120.8933, 153.1665, 151.7701, 176.1819]","['South Kuroshio', 'Western Coral Triangle', 'East Central Australian Shelf', 'East Central Australian Shelf', 'Northern New Zealand']","[0.0, 50.701413872512134, 610.8671932580537, 27.381286089697806, 127.44130844917812]","[np.float64(30.26191633225986), 28.38230947233585, np.float64(97.18676344011247), np.float64(33.02096595432988), 0.0]",41.8851,974.9812,TAURANGA
syn_07099,4,General Cargo,33420.0,5,"['KANDLA', 'FUJAIRAH', 'SHARJAH', 'JUBAIL', 'TAURANGA']","['India', 'United Arab Emirates', 'United Arab Emirates', 'Saudi Arabia', 'New Zealand']","[22.7425, 25.2153, 25.3699, 27.1372, -37.6444]","[69.9908, 56.5035, 55.3818, 49.7874, 176.1819]","['West and South Indian Shelf', 'Somali/Arabian', 'Somali/Arabian', 'Somali/Arabian', 'Northern New Zealand']","[0.0, 103.34552060477989, 25.489513508492582, 40.975634049536275, 877.2945306361859]","[19.924491395637226, np.float64(23.35413646580598), 24.55352082833071, 9.06664885204688, 0.0]",46.8335,1104.0795,TAURANGA
syn_07100,4,Bulker,37732.0,5,"['INCHEON', 'SUSAKI', 'YOSU', 'KANDA', 'AUCKLAND']","['South Korea', 'Japan', 'South Korea', 'Japan', 'New Zealand']","[37.4956, 33.3985, 34.7645, 33.7763, -36.8402]","[126.6101, 133.2971, 127.7773, 131.0079, 174.7721]","['Cold Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Northern New Zealand']","[0.0, 81.827676535202, 36.09469903665692, 28.62289410386284, 503.6650486888969]","[82.85212118363302, 52.714891451098524, np.float64(60.77878005267464), np.float64(37.18378727992363), 0.0]",36.8225,800.8878,AUCKLAND
syn_07101,4,Bulker,37649.0,5,"['SINGAPORE', 'FUZHOU', 'HONG KONG', 'XIAMEN', 'TAURANGA']","['Singapore', 'China', 'China', 'China', 'New Zealand']","[1.2427, 26.4565, 22.0717, 24.4448, -37.6444]","[103.8733, 119.6988, 114.4267, 118.0187, 176.1819]","['Sunda Shelf', 'Warm Temperate Northwest Pacific', 'South China Sea', 'South China Sea', 'Northern New Zealand']","[0.0, 236.75701978485833, 44.08372363184318, 34.174462062788486, 493.39696818907237]","[np.float64(38.02776316578221), 56.98847008454581, np.float64(13.8271422019913), 64.4152219487212, 0.0]",40.9029,943.643,TAURANGA
syn_07102,4,Bulker,63527.0,5,"['ZHUHAI', 'GAMCHEON', 'KANDA, FUKUOKA', 'KANDA', 'AUCKLAND']","['China', 'South Korea', 'Japan', 'Japan', 'New Zealand']","[22.0581, 35.0605, 33.7636, 33.7763, -36.8402]","[113.873, 128.9967, 131.2559, 131.0079, 174.7721]","['South China Sea', 'Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Northern New Zealand']","[0.0, 201.5883296903283, 11.712274441128102, 1.970935276716442, 458.1956954498441]","[32.621931391412055, np.float64(38.73708598804685), np.float64(19.188261759742172), np.float64(89.5082950145789), 0.0]",35.5635,820.9009,AUCKLAND
syn_07103,4,Bulker,37105.0,5,"['SHANGHAI', 'MAJISTAN', 'SHANGHAI', 'ZHOUSHAN', 'NEW PLYMOUTH']","['China', 'China', 'China', 'China', 'New Zealand']","[31.0717, 29.7672, 31.0717, 30.1646, -39.0577]","[122.6783, 122.0034, 122.6783, 122.2733, 174.0346]","['Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Southern New Zealand']","[0.0, 12.161738110864642, 13.082139097309714, 5.619282058013039, 667.0057368632737]","[np.float64(21.334333810626397), 83.77287852115717, np.float64(32.139790611062956), np.float64(8.723733723899926), 0.0]",35.16,822.5053,NEW PLYMOUTH
syn_07104,4,RoRo,27178.0,5,"['INCHEON', 'KUANTAN', 'KLANG', 'SINGAPORE', 'NEW PLYMOUTH']","['South Korea', 'Malaysia', 'Malaysia', 'Singapore', 'New Zealand']","[37.4956, 3.9808, 2.9224, 1.2427, -39.0577]","[126.6101, 103.4185, 101.2873, 103.8733, 174.0346]","['Cold Temperate Northwest Pacific', 'Sunda Shelf', 'Sunda Shelf', 'Sunda Shelf', 'Southern New Zealand']","[0.0, 201.27603111038587, 31.843757719166668, 20.979685978714947, 290.5949411116734]","[6.212756677690647, 9.645870868014358, np.float64(15.75744776865888), np.float64(9.243472791537819), 0.0]",24.3981,579.3412,NEW PLYMOUTH
syn_07105,4,Bulker,28190.0,5,"['DAESAN', 'INCHEON', 'KUANTAN', 'KLANG', 'AUCKLAND']","['South Korea', 'South Korea', 'Malaysia', 'Malaysia', 'New Zealand']","[37.0566, 37.4956, 3.9808, 2.9224, -36.8402]","[126.168, 126.6101, 103.4185, 101.2873, 174.7721]","['Cold Temperate Northwest Pacific', 'Cold Temperate Northwest Pacific', 'Sunda Shelf', 'Sunda Shelf', 'Northern New Zealand']","[0.0, 34.45844474010274, 319.99455277165407, 48.1377427851895, 442.36701804494925]","[49.884470188253104, 93.8369270877587, 61.57697525467326, np.float64(35.57760416341278), 0.0]",45.2431,1035.9493,AUCKLAND
syn_07106,4,Container,48169.0,6,"['MASAN', 'SUZHOU', 'YANGZHOU', 'CHENGXI', 'KASHIMA', 'TIMARU']","['South Korea', 'China', 'China', 'China', 'Japan', 'New Zealand']","[35.205, 31.6936, 32.3206, 32.0841, 35.8821, -44.3931]","[128.5983, 121.145, 119.7304, 119.93, 140.6888, 171.258]","['Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Cold Temperate Northwest Pacific', 'Southern New Zealand']","[0.0, 48.81241869660041, 56.70918318490716, 36.367875389051925, 68.41980313606027, 419.8530869819736]","[28.802284597964555, np.float64(79.26433528834559), np.float64(66.21898284420281), np.float64(54.90467558230968), 35.999245746489635, 0.0]",37.3063,866.5496,TIMARU
syn_07107,4,General Cargo,33443.0,5,"['LANSHAN', 'DALIAN', 'YINGKOU', 'LUCANIN', 'TAURANGA']","['China', 'China', 'China', 'Philippines', 'New Zealand']","[35.1191, 39.0333, 40.328, 14.4903, -37.6444]","[119.4167, 121.8433, 121.8465, 120.6496, 176.1819]","['Cold Temperate Northwest Pacific', 'Cold Temperate Northwest Pacific', 'Cold Temperate Northwest Pacific', 'Western Coral Triangle', 'Northern New Zealand']","[0.0, 19.892180116774302, 14.913769458448662, 180.34960600088584, 603.1652106724405]","[np.float64(127.202560738996), 32.44662400556225, 64.96135844708161, 16.737835755161345, 0.0]",44.1529,932.4666,TAURANGA
syn_07108,4,Bulker,42965.0,6,"['SHANGHAI', 'SUZHOU', 'IWAKUNI', 'KANDA, FUKUOKA', 'KANDA', 'AUCKLAND']","['China', 'China', 'Japan', 'Japan', 'Japan', 'New Zealand']","[31.0717, 31.6936, 34.1652, 33.7636, 33.7763, -36.8402]","[122.6783, 121.145, 132.2741, 131.2559, 131.0079, 174.7721]","['Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Northern New Zealand']","[0.0, 14.596174179307612, 59.855728311523144, 5.724378065787333, 2.0657946443468878, 571.6402399186616]","[np.float64(30.167964688479234), np.float64(6.219401826264994), 23.199210915238133, np.float64(13.86743993141713), np.float64(26.722913929592753), 0.0]",31.4191,723.8913,AUCKLAND
syn_07109,4,Bulker,56169.0,5,"['ILIGAN', 'SRIRACHA', 'SINGAPORE', 'KLANG', 'NEW PLYMOUTH']","['Philippines', 'Thailand', 'Singapore', 'Malaysia', 'New Zealand']","[8.2317, 13.139, 1.2427, 2.9224, -39.0577]","[124.2317, 100.8723, 103.8733, 101.2873, 174.0346]","['Western Coral Triangle', 'Sunda Shelf', 'Sunda Shelf', 'Sunda Shelf', 'Southern New Zealand']","[0.0, 289.53061113544356, 72.59267348394681, 17.558564398811917, 740.019403934906]","[86.8628500187144, np.float64(134.652928843186), np.float64(25.202562581384168), np.float64(27.089055368048513), 0.0]",58.0629,1306.6458,NEW PLYMOUTH
syn_07110,4,Bulker,39172.0,5,"['SAMALAJU', 'SINGAPORE', 'TOWNSVILLE', 'GLADSTONE', 'AUCKLAND']","['Malaysia', 'Singapore', 'Australia', 'Australia', 'New Zealand']","[3.5709, 1.2427, -19.0942, -23.8351, -36.8402]","[113.3196, 103.8733, 146.9491, 151.2712, 174.7721]","['Sunda Shelf', 'Sunda Shelf', 'Northeast Australian Shelf', 'Northeast Australian Shelf', 'Northern New Zealand']","[0.0, 82.90006746838009, 341.79857823490585, 43.82057376350221, 120.16405649770041]","[50.15817379060398, np.float64(13.0372565750855), np.float64(50.96670272881757), np.float64(93.33862743747292), 0.0]",33.1743,746.0259,AUCKLAND
syn_07111,4,Container,80225.0,5,"['VIZAG', 'VISAKHAPATNAM', 'HALDIA', 'KLANG', 'PORT CHALMERS']","['India', 'India', 'India', 'Malaysia', 'New Zealand']","[17.6267, 17.7016, 22.0349, 2.9224, -45.8742]","[83.4117, 83.2826, 88.0888, 101.2873, 170.5221]","['Bay of Bengal', 'Bay of Bengal', 'Bay of Bengal', 'Sunda Shelf', 'Southern New Zealand']","[0.0, 41.314418854810604, 25.70006516143964, 119.12068702778696, 406.24165041185347]","[80.86595883517363, 6.175232231594253, 92.03135611368496, np.float64(24.34304169317066), 0.0]",33.158,714.9265,PORT CHALMERS
syn_07112,4,Bulker,42965.0,5,"['BALI', 'HITACHINAKA', 'SHANGHAI', 'MASAN', 'AUCKLAND']","['Taiwan', 'Japan', 'China', 'South Korea', 'New Zealand']","[25.16, 36.4311, 31.0717, 35.205, -36.8402]","[121.395, 140.6213, 122.6783, 128.5983, 174.7721]","['Warm Temperate Northwest Pacific', 'Cold Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Northern New Zealand']","[0.0, 263.3860860040226, 107.04082646926253, 44.40926991112036, 400.525046811086]","[107.09876681884822, 30.252403128165778, np.float64(55.50348381209579), 33.006972826219325, 0.0]",43.3843,934.1241,AUCKLAND
syn_07113,4,General Cargo,37715.0,5,"['FUJAIRAH', 'JEBEL ALI', 'JUBAIL', 'AL JUBAYL', 'TAURANGA']","['United Arab Emirates', 'United Arab Emirates', 'Saudi Arabia', 'Saudi Arabia', 'New Zealand']","[25.2153, 24.988, 27.1372, 27.0767, -37.6444]","[56.5035, 55.0737, 49.7874, 49.6767, 176.1819]","['Somali/Arabian', 'Somali/Arabian', 'Somali/Arabian', 'Somali/Arabian', 'Northern New Zealand']","[0.0, 17.468746638167705, 25.731441838983027, 32.957385702788365, 1149.2211615337399]","[np.float64(18.181443191718966), 52.72079353333981, 66.69819163766998, 12.316437452146026, 0.0]",57.304,1357.1142,TAURANGA
syn_07114,4,General Cargo,12763.0,6,"['SHARJAH', 'RAS AL KHAIR SA', 'AL JUBAYL', 'JUBAIL', 'SINGAPORE', 'TIMARU']","['United Arab Emirates', 'Saudi Arabia', 'Saudi Arabia', 'Saudi Arabia', 'Singapore', 'New Zealand']","[25.3699, 27.5509, 27.0767, 27.1372, 1.2427, -44.3931]","[55.3818, 49.2083, 49.6767, 49.7874, 103.8733, 171.258]","['Somali/Arabian', 'Somali/Arabian', 'Somali/Arabian', 'Somali/Arabian', 'Sunda Shelf', 'Southern New Zealand']","[0.0, 39.02443596253037, 37.089950396290895, 49.611300029611485, 427.46195179308444, 619.8532744326476]","[102.34168437346858, 7.07715527034637, 31.48926010989932, 28.29862165223732, np.float64(46.3728928793883), 0.0]",57.8592,1286.2788,TIMARU
syn_07115,4,Bulker,42446.0,6,"['COCHIN', 'GERALDTON', 'ESPERANCE', 'KWINANA', 'THEVENARD', 'TAURANGA']","['India', 'Australia', 'Australia', 'Australia', 'Australia', 'New Zealand']","[9.9236, -28.6797, -33.8718, -32.0435, -32.1493, -37.6444]","[76.1333, 114.5095, 121.8997, 115.6652, 133.6409, 176.1819]","['West and South Indian Shelf', 'West Central Australian Shelf', 'Southwest Australian Shelf', 'Southwest Australian Shelf', 'Southwest Australian Shelf', 'Northern New Zealand']","[0.0, 337.17186336845157, 72.54405292662818, 41.17093196305731, 96.08371338323163, 387.1225119547198]","[6.708004209102049, 43.249420536064285, 11.609408484470794, np.float64(57.09357737183136), np.float64(26.424103775083193), 0.0]",44.9657,1072.4696,TAURANGA
