voyage_id,cluster,vessel_type,DWT,n_ports,ports,port_territories,latitudes,longitudes,ecoprovinces,transits_hours,dwells_hours,total_span_days,delta_t_hours,nz_dest_port
syn_00001,0,Reefer,12374.0,6,"['LAEM CHABANG', 'SINGAPORE', 'KWINANA', 'FREMANTLE', 'ADELAIDE', 'AUCKLAND']","['Thailand', 'Singapore', 'Australia', 'Australia', 'Australia', 'New Zealand']","[13.0535, 1.2427, -32.0435, -32.051, -34.8169, -36.8402]","[100.8951, 103.8733, 115.6652, 115.7393, 138.2816, 174.7721]","['Sunda Shelf', 'Sunda Shelf', 'Southwest Australian Shelf', 'Southwest Australian Shelf', 'Southwest Australian Shelf', 'Northern New Zealand']","[0.0, 60.100716435057365, 204.93554209714677, 40.31365342694732, 70.43407718336884, 129.66916709556787]","[np.float64(17.833339541392675), np.float64(111.1564920385108), 32.61275582216662, np.float64(20.69463440874175), np.float64(9.903019232006525), 0.0]",29.0689,679.8201,AUCKLAND
syn_00002,0,Container,36307.0,5,"['YOKOHAMA', 'OSAKA', 'PYEONGTAEK', 'LA PAZ', 'AUCKLAND']","['Japan', 'Japan', 'South Korea', 'Philippines', 'New Zealand']","[35.4763, 34.5877, 36.9805, 7.2901, -36.8402]","[139.6511, 135.45, 126.8245, 125.7118, 174.7721]","['Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Cold Temperate Northwest Pacific', 'Western Coral Triangle', 'Northern New Zealand']","[0.0, 31.825677938558226, 53.6548652821018, 235.00528161318297, 694.1637996689986]","[np.float64(16.526694702288722), np.float64(10.788183842887102), np.float64(41.199296696709645), np.float64(41.50132168790693), 0.0]",46.861,1108.1384,AUCKLAND
syn_00003,0,Container,53870.0,5,"['MAP TA PHUT', 'KLANG', 'SINGAPORE', 'BONTANG', 'AUCKLAND']","['Thailand', 'Malaysia', 'Singapore', 'Indonesia', 'New Zealand']","[12.6618, 2.9224, 1.2427, 0.1481, -36.8402]","[101.1506, 101.2873, 103.8733, 117.5931, 174.7721]","['Sunda Shelf', 'Sunda Shelf', 'Sunda Shelf', 'Western Coral Triangle', 'Northern New Zealand']","[0.0, 84.59794666258911, 22.5333681730145, 117.1185910613126, 423.5033927603079]","[54.987924656449444, 12.36697503961566, np.float64(100.51197308790465), 20.56935874478255, 0.0]",34.8412,781.2016,AUCKLAND
syn_00004,0,Container,43114.0,7,"['TOKYO', 'OSAKA', 'GAMCHEON', 'GUANGZHOU', 'HONIARA', 'NOUMEA', 'AUCKLAND']","['Japan', 'Japan', 'South Korea', 'China', 'Solomon Islands', 'New Caledonia', 'New Zealand']","[35.6, 34.5877, 35.0605, 22.4968, -9.4274, -22.2633, -36.8402]","[139.7931, 135.45, 128.9967, 113.8628, 159.9603, 166.4317, 174.7721]","['Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'South China Sea', 'Eastern Coral Triangle', 'Tropical Southwestern Pacific', 'Northern New Zealand']","[0.0, 46.149295081320226, 40.34343203633035, 82.8610804031051, 323.8647439221521, 73.26189570974338, 60.97285134937689]","[14.476689042013057, np.float64(8.834734486469882), np.float64(95.46595840271851), np.float64(10.227455999686276), 57.48190966081821, np.float64(48.10237874467755), 0.0]",35.9184,847.5657,AUCKLAND
syn_00005,0,General Cargo,12100.0,6,"['JEBEL ALI', 'DUQM', 'MINA RAYSUT', 'TANJUNG PELEPAS', 'SINGAPORE', 'TAURANGA']","['United Arab Emirates', 'Oman', 'Oman', 'Malaysia', 'Singapore', 'New Zealand']","[24.988, 19.6784, 16.9467, 1.3355, 1.2427, -37.6444]","[55.0737, 57.7233, 54.0117, 103.5553, 103.8733, 176.1819]","['Somali/Arabian', 'Somali/Arabian', 'Somali/Arabian', 'Sunda Shelf', 'Sunda Shelf', 'Northern New Zealand']","[0.0, 35.893152154625525, 28.891809792750117, 238.67650464015122, 43.068636073611515, 314.8577029139349]","[45.67170047208969, 20.561737896287777, 10.562037155759924, np.float64(88.7232104345578), np.float64(22.34925620887859), 0.0]",35.3857,803.584,TAURANGA
syn_00006,0,General Cargo,12267.0,7,"['HONG KONG', 'ZHUHAI', 'GUANGZHOU', 'ONSAN', 'OSAKA', 'YOKKAICHI', 'AUCKLAND']","['China', 'China', 'China', 'South Korea', 'Japan', 'Japan', 'New Zealand']","[22.0717, 22.0581, 22.4968, 35.5182, 34.5877, 35.0483, -36.8402]","[114.4267, 113.873, 113.8628, 129.3932, 135.45, 136.8533, 174.7721]","['South China Sea', 'South China Sea', 'South China Sea', 'Cold Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Northern New Zealand']","[0.0, 4.0653129463730835, 2.4281780178474905, 77.48350839769014, 59.6589032345849, 17.006709316971154, 633.4439995922195]","[np.float64(71.13677225497896), 50.961193437856984, np.float64(14.998323682947643), np.float64(26.217433691698478), np.float64(19.478210960686884), np.float64(29.164191848083206), 0.0]",41.9184,934.906,AUCKLAND
syn_00007,0,RoRo,18864.0,5,"['OSAKA', 'GAMCHEON', 'GUANGZHOU', 'HONIARA', 'AUCKLAND']","['Japan', 'South Korea', 'China', 'Solomon Islands', 'New Zealand']","[34.5877, 35.0605, 22.4968, -9.4274, -36.8402]","[135.45, 128.9967, 113.8628, 159.9603, 174.7721]","['Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'South China Sea', 'Eastern Coral Triangle', 'Northern New Zealand']","[0.0, 29.368525661477584, 132.8585709129015, 272.8910612838632, 170.6820572333068]","[np.float64(9.382499375975831), np.float64(58.21524045331431), np.float64(17.73449889340701), 30.386155310944314, 0.0]",30.0633,712.1361,AUCKLAND
syn_00008,0,Container,24475.0,7,"['LAEM CHABANG', 'SINGAPORE', 'KWINANA', 'FREMANTLE', 'ADELAIDE', 'MELBOURNE', 'NAPIER']","['Thailand', 'Singapore', 'Australia', 'Australia', 'Australia', 'Australia', 'New Zealand']","[13.0535, 1.2427, -32.0435, -32.051, -34.8169, -37.844, -39.4759]","[100.8951, 103.8733, 115.6652, 115.7393, 138.2816, 144.905, 176.9184]","['Sunda Shelf', 'Sunda Shelf', 'Southwest Australian Shelf', 'Southwest Australian Shelf', 'Southwest Australian Shelf', 'Southeast Australian Shelf', 'Southern New Zealand']","[0.0, 75.68251550118546, 310.7214722411403, 78.0464683523251, 199.32236546861367, 63.82223048966189, 174.79877270634262]","[np.float64(11.546406724637633), np.float64(26.09592126951014), 14.393183003092506, np.float64(19.750171122205597), np.float64(7.531813068947838), np.float64(19.934384470883657), 0.0]",41.7352,990.0993,NAPIER
syn_00009,0,RoRo,15495.0,6,"['YOKKAICHI', 'SHANGHAI', 'SUZHOU', 'CHENGXI', 'GAMCHEON', 'TAURANGA']","['Japan', 'China', 'China', 'China', 'South Korea', 'New Zealand']","[35.0483, 31.0717, 31.6936, 32.0841, 35.0605, -37.6444]","[136.8533, 122.6783, 121.145, 119.93, 128.9967, 176.1819]","['Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Warm Temperate Northwest Pacific', 'Northern New Zealand']","[0.0, 69.4627973813021, 16.16234330186721, 58.77901629565533, 22.477191149345007, 431.6116176734447]","[np.float64(38.76562130167591), np.float64(43.76797841001987), np.float64(25.338447609652043), 15.749796026591383, np.float64(40.93066908947923), 0.0]",31.7936,724.2799,TAURANGA
syn_00010,0,Container,21202.0,7,"['MAP TA PHUT', 'TAICHUNG', 'QUANZHOU', 'GLADSTONE', 'HAY POINT', 'MACKAY', 'NEW PLYMOUTH']","['Thailand', 'Taiwan', 'China', 'Australia', 'Australia', 'Australia', 'New Zealand']","[12.6618, 24.253, 24.9716, -23.8351, -21.1629, -21.1059, -39.0577]","[101.1506, 120.4349, 119.1117, 151.2712, 149.3474, 149.2318, 174.0346]","['Sunda Shelf', 'South China Sea', 'Warm Temperate Northwest Pacific', 'Northeast Australian Shelf', 'Northeast Australian Shelf', 'Northeast Australian Shelf', 'Southern New Zealand']","[0.0, 270.3624614790067, 20.908511729136492, 350.17947961407884, 36.31787584137106, 43.28525448960279, 132.77205403431657]","[14.419337536082688, 8.893535101802927, 8.48276489155227, 23.352623444388822, 36.43258912634223, 23.531115029218544, 0.0]",40.3724,954.5183,NEW PLYMOUTH
